email,association_name,location,department,region,phone,website,type,notes
association@vielemusicale.fr,Vièle Musicale,France,Le Puy-en-Velay,Auvergne-Rhône-Alpes,,,French,Association,Vièle,Vièle à roue Haute-Loire
contact@folkingrenoble.fr,Folk In Grenoble,France,Grenoble,Auvergne-Rhône-Alpes,,,French,Association,Bal folk,Bal folk Isère
lesmenestrels@orange.fr,Les Ménestrels,France,Annecy,Auvergne-Rhône-Alpes,,,French,Association,Musique médiévale,Musiques anciennes Savoie
info@folkdijon.fr,Folk Dijon,France,Dijon,Bourgogne-Franche-Comté,,,French,Association,Bal folk,Bal folk Bourgogne
contact@epicurien-musique.fr,L'Épicurien Musiques du Monde,France,Dijon,Bourgogne-Franche-Comté,,,French,Association,Musiques du monde,Musiques du monde et bal folk
lescompagnonsdelatrad@wanadoo.fr,Les Compagnons de la Trad,France,Besançon,Bourgogne-Franche-Comté,,,French,Association,Musique trad,Musique traditionnelle Franche-Comté
contact@bourree-bourgogne.fr,La Bourrée Bourguignonne,France,Beaune,Bourgogne-Franche-Comté,,,French,Association,Bourrée,Danse et musique bourguignonne
info@folkenmorvan.fr,Folk en Morvan,France,Château-Chinon,Bourgogne-Franche-Comté,,,French,Association,Bal folk,Bal folk Nièvre
contact@balfolkreims.fr,Bal Folk Reims,France,Reims,Grand Est,,,French,Association,Bal folk,Association bal folk Marne
info@folklorraine.fr,Folklor'Aine,France,Nancy,Grand Est,,,French,Association,Bal folk,Bal folk Lorraine
lesamisdelavielle@gmail.com,Les Amis de la Vielle,France,Metz,Grand Est,,,French,Association,Vielle à roue,Vielle à roue Moselle
contact@tradenmoselle.fr,Trad en Moselle,France,Thionville,Grand Est,,,French,Association,Musique trad,Musiques traditionnelles Lorraine
info@folkamiens.fr,Folk'Amiens,France,Amiens,Hauts-de-France,,,French,Association,Bal folk,Bal folk Somme
balfolklille@gmail.com,Bal Folk Lille,France,Lille,Hauts-de-France,,,French,Association,Bal folk,Bals folk Nord
contact@folklille.org,Asso Folk Lille,France,Lille,Hauts-de-France,,,French,Association,Musique folk,Musiques folk et trad Nord
lesmenestrelsdunord@orange.fr,Les Ménestrels du Nord,France,Valenciennes,Hauts-de-France,,,French,Association,Musique médiévale,Musiques médiévales Nord
info@tradpicardie.fr,Trad'Picardie,France,Beauvais,Hauts-de-France,,,French,Association,Musique picarde,Musiques traditionnelles Picardie
contact@folkencalais.fr,Folk en Calais,France,Calais,Hauts-de-France,,,French,Association,Bal folk,Bal folk Pas-de-Calais
info@accordion-club-koeln.de,Accordion Club Köln,Germany,Köln,Nordrhein-Westfalen,,accordion-club-koeln.de,German,Club,Accordion,Accordion club Cologne
kontakt@harmonika-muenchen.de,Harmonika Verein München,Germany,München,Bayern,,harmonika-muenchen.de,German,Association,Harmonika,Munich harmonika association
info@akkordeon-frankfurt.de,Akkordeon Orchester Frankfurt,Germany,Frankfurt,Hessen,,akkordeon-frankfurt.de,German,Orchestra,Accordion,Frankfurt accordion orchestra
kontakt@harmonika-stuttgart.de,Harmonika Club Stuttgart,Germany,Stuttgart,Baden-Württemberg,,harmonika-stuttgart.de,German,Club,Harmonika,Stuttgart harmonika club
info@akkordeon-dresden.de,Akkordeon Verein Dresden,Germany,Dresden,Sachsen,,akkordeon-dresden.de,German,Association,Accordion,Dresden accordion association
kontakt@steirische-berlin.de,Steirische Harmonika Berlin,Germany,Berlin,Berlin,,steirische-berlin.de,German,Association,Steirische,Berlin steirische group
info@volksmusik-bayern.de,Volksmusik Bayern,Germany,München,Bayern,,volksmusik-bayern.de,German,Association,Volksmusik,Bavarian folk music
kontakt@tanz-und-musik.de,Tanz und Volksmusik Verein,Germany,Freiburg,Baden-Württemberg,,,German,Association,Folk dance,Dance and folk music
info@akkordeon-hannover.de,Akkordeon Club Hannover,Germany,Hannover,Niedersachsen,,akkordeon-hannover.de,German,Club,Accordion,Hannover accordion club
kontakt@harmonika-leipzig.de,Harmonika Orchester Leipzig,Germany,Leipzig,Sachsen,,harmonika-leipzig.de,German,Orchestra,Harmonika,Leipzig harmonika orchestra
info@balfolk-deutschland.de,Balfolk Deutschland,Germany,Berlin,Berlin,,balfolk-deutschland.de,German,Network,Bal folk,German balfolk network
kontakt@folkmusik-hamburg.de,Folkmusik Hamburg,Germany,Hamburg,Hamburg,,folkmusik-hamburg.de,German,Association,Folk music,Hamburg folk music
info@accordion-duesseldorf.de,Akkordeon Verein Düsseldorf,Germany,Düsseldorf,Nordrhein-Westfalen,,accordion-duesseldorf.de,German,Association,Accordion,Düsseldorf accordion
kontakt@volksmusik-sachsen.de,Volksmusik Sachsen,Germany,Dresden,Sachsen,,,German,Association,Volksmusik,Saxon folk music
info@folkclub-bremen.de,Folk Club Bremen,Germany,Bremen,Bremen,,folkclub-bremen.de,German,Club,Folk,Bremen folk club
info@organetto-roma.it,Organetto Roma,Italy,Roma,Lazio,,organetto-roma.it,Italian,Association,Organetto,Rome organetto association
contatto@fisarmonica-napoli.it,Associazione Fisarmonica Napoli,Italy,Napoli,Campania,,fisarmonica-napoli.it,Italian,Association,Fisarmonica,Naples accordion association
info@organetto-toscana.it,Organetto Toscana,Italy,Firenze,Toscana,,organetto-toscana.it,Italian,Association,Organetto,Tuscany organetto
contatto@musicapopolare-abruzzo.it,Musica Popolare Abruzzo,Italy,Pescara,Abruzzo,,,Italian,Association,Folk music,Abruzzo folk music
info@organetto-marche.it,Organetto Marche,Italy,Ancona,Marche,,,Italian,Association,Organetto,Marche organetto network
contatto@fisarmonica-milano.it,Associazione Fisarmonicisti Milano,Italy,Milano,Lombardia,,fisarmonica-milano.it,Italian,Association,Fisarmonica,Milan accordion association
info@tarantella-puglia.it,Tarantella Puglia,Italy,Bari,Puglia,,tarantella-puglia.it,Italian,Association,Tarantella,Apulian tarantella
contatto@organetto-calabria.it,Organetto Calabria,Italy,Reggio Calabria,Calabria,,,Italian,Association,Organetto,Calabrian organetto
info@musicatradizionale-sicilia.it,Musica Tradizionale Sicilia,Italy,Palermo,Sicilia,,,Italian,Association,Traditional music,Sicilian traditional music
contatto@fisarmonica-bologna.it,Fisarmonica Bologna,Italy,Bologna,Emilia-Romagna,,fisarmonica-bologna.it,Italian,Association,Fisarmonica,Bologna accordion
info@cce-cork.ie,CCE Cork Branch,Ireland,Cork,Munster,,comhaltas.ie,English,Branch,CCE,Comhaltas Cork branch
secretary@cce-galway.ie,CCE Galway Branch,Ireland,Galway,Connacht,,comhaltas.ie,English,Branch,CCE,Comhaltas Galway branch
info@cce-limerick.ie,CCE Limerick Branch,Ireland,Limerick,Munster,,comhaltas.ie,English,Branch,CCE,Comhaltas Limerick branch
secretary@cce-dublin.ie,CCE Dublin Branch,Ireland,Dublin,Leinster,,comhaltas.ie,English,Branch,CCE,Comhaltas Dublin branch
info@cce-donegal.ie,CCE Donegal Branch,Ireland,Donegal,Ulster,,comhaltas.ie,English,Branch,CCE,Comhaltas Donegal branch
info@melodeon.net,Melodeon.net Community,UK,London,England,,melodeon.net,English,Network,Melodeon,UK melodeon community
secretary@scottishaccordion.org,Scottish Accordion Club,UK,Edinburgh,Scotland,,scottishaccordion.org,English,Club,Accordion,Scottish accordion association
info@welshfolk.org,Welsh Folk Dance Society,UK,Cardiff,Wales,,welshfolk.org,English,Society,Folk dance,Welsh folk dance
contact@folkclub-london.org,London Folk Club,UK,London,England,,folkclub-london.org,English,Club,Folk,London folk sessions
info@oxfordfolk.org.uk,Oxford Folk Club,UK,Oxford,England,,oxfordfolk.org.uk,English,Club,Folk,Oxford folk music
secretary@cambridgefolk.org,Cambridge Folk Festival Association,UK,Cambridge,England,,cambridgefolk.org,English,Festival,Folk,Cambridge folk
info@bristolfolk.org.uk,Bristol Folk Society,UK,Bristol,England,,bristolfolk.org.uk,English,Society,Folk,Bristol folk community
contact@manchesterfolk.org,Manchester Folk Club,UK,Manchester,England,,,English,Club,Folk,Manchester folk sessions
info@liverpoolfolk.co.uk,Liverpool Folk Club,UK,Liverpool,England,,,English,Club,Folk,Liverpool folk music
secretary@yorkshirefolk.org,Yorkshire Folk Arts,UK,Leeds,England,,yorkshirefolk.org,English,Association,Folk arts,Yorkshire folk
info@newcastlefolk.org.uk,Newcastle Folk Club,UK,Newcastle,England,,,English,Club,Folk,Newcastle folk sessions
contact@nottinghamfolk.org,Nottingham Folk Club,UK,Nottingham,England,,,English,Club,Folk,Nottingham folk
info@birminghamfolk.org.uk,Birmingham Folk Club,UK,Birmingham,England,,,English,Club,Folk,Birmingham folk music
secretary@sheffieldfolk.org,Sheffield Accordion Club,UK,Sheffield,England,,,English,Club,Accordion,Sheffield accordion
info@balfolk-brussels.be,Balfolk Brussels,Belgium,Brussels,Brussels,,balfolk-brussels.be,French/Dutch,Association,Bal folk,Brussels balfolk network
contact@volksdans-gent.be,Volksdans Gent,Belgium,Gent,Flanders,,volksdans-gent.be,Dutch,Association,Folk dance,Ghent folk dance
info@balfolk-liege.be,Balfolk Liège,Belgium,Liège,Wallonia,,balfolk-liege.be,French,Association,Bal folk,Liège balfolk
contact@folkbelgium.be,Folk Belgium Network,Belgium,Antwerpen,Flanders,,folkbelgium.be,Dutch/French,Network,Folk,Belgian folk network
info@accordeon-antwerpen.be,Accordeon Club Antwerpen,Belgium,Antwerpen,Flanders,,,Dutch,Club,Accordion,Antwerp accordion club
contact@danstraditioneel.be,Dans Traditioneel België,Belgium,Leuven,Flanders,,,Dutch,Association,Traditional dance,Traditional dance Belgium
info@balfolk-amsterdam.nl,Balfolk Amsterdam,Netherlands,Amsterdam,North Holland,,balfolk-amsterdam.nl,Dutch,Association,Bal folk,Amsterdam balfolk
contact@volksmuziek-utrecht.nl,Volksmuziek Utrecht,Netherlands,Utrecht,Utrecht,,volksmuziek-utrecht.nl,Dutch,Association,Folk music,Utrecht folk music
info@folkclub-rotterdam.nl,Folk Club Rotterdam,Netherlands,Rotterdam,South Holland,,,Dutch,Club,Folk,Rotterdam folk club
contact@accordeonvereniging.nl,Nederlandse Accordeon Vereniging,Netherlands,Den Haag,South Holland,,accordeonvereniging.nl,Dutch,Association,Accordion,Dutch accordion association
info@balfolk-nijmegen.nl,Balfolk Nijmegen,Netherlands,Nijmegen,Gelderland,,,Dutch,Association,Bal folk,Nijmegen balfolk
contact@volksdans-nederland.nl,Volksdans Nederland,Netherlands,Amersfoort,Utrecht,,volksdans-nederland.nl,Dutch,Federation,Folk dance,Dutch folk dance federation
info@folkgroningen.nl,Folk Groningen,Netherlands,Groningen,Groningen,,,Dutch,Association,Folk,Groningen folk music
contact@accordeon-eindhoven.nl,Accordeon Club Eindhoven,Netherlands,Eindhoven,North Brabant,,,Dutch,Club,Accordion,Eindhoven accordion
info@trikitixa-donostia.eus,Trikitixa Elkartea Donostia,Spain,Donostia-San Sebastián,Basque Country,,trikitixa.eus,Basque,Association,Trikitixa,San Sebastián trikitixa
contacto@acordeon-bilbao.eus,Asociación Acordeón Bilbao,Spain,Bilbao,Basque Country,,,Basque,Association,Accordion,Bilbao accordion association
info@acordeon-vitoria.eus,Acordeón Gasteiz,Spain,Vitoria-Gasteiz,Basque Country,,,Basque,Association,Accordion,Vitoria accordion
contacto@musicatradicional-galicia.es,Música Tradicional Galicia,Spain,Santiago de Compostela,Galicia,,musicagalicia.es,Galician,Association,Traditional music,Galician traditional music
info@acordeon-asturias.es,Acordeón Asturias,Spain,Oviedo,Asturias,,,Spanish,Association,Accordion,Asturian accordion
contacto@folkcat.cat,Folk Catalunya,Spain,Barcelona,Catalunya,,folkcat.cat,Catalan,Association,Folk,Catalan folk music
info@musicatrad-barcelona.cat,Música Tradicional Barcelona,Spain,Barcelona,Catalunya,,,Catalan,Association,Traditional music,Barcelona traditional music
contacto@acordeon-madrid.es,Asociación Acordeón Madrid,Spain,Madrid,Madrid,,,Spanish,Association,Accordion,Madrid accordion association
info@folkvalencia.es,Folk Valencia,Spain,Valencia,Valencia,,,Spanish,Association,Folk,Valencia folk music
contacto@musictrad-aragon.es,Música Tradicional Aragón,Spain,Zaragoza,Aragón,,,Spanish,Association,Traditional music,Aragonese traditional music
info@steirische-graz.at,Steirische Harmonika Graz,Austria,Graz,Steiermark,,steirische-graz.at,German,Association,Steirische,Graz steirische association
kontakt@harmonika-salzburg.at,Harmonika Verein Salzburg,Austria,Salzburg,Salzburg,,harmonika-salzburg.at,German,Association,Harmonika,Salzburg harmonika
info@volksmusik-tirol.at,Volksmusik Tirol,Austria,Innsbruck,Tirol,,volksmusik-tirol.at,German,Association,Volksmusik,Tyrolean folk music
kontakt@steirische-wien.at,Steirische Wien,Austria,Wien,Wien,,steirische-wien.at,German,Association,Steirische,Vienna steirische group
info@harmonika-kaernten.at,Harmonika Kärnten,Austria,Klagenfurt,Kärnten,,,German,Association,Harmonika,Carinthian harmonika
kontakt@volksmusik-oberoesterreich.at,Volksmusik Oberösterreich,Austria,Linz,Oberösterreich,,,German,Association,Volksmusik,Upper Austrian folk music
info@schwyzerorgeli-luzern.ch,Schwyzerörgeli Verein Luzern,Switzerland,Luzern,Luzern,,schwyzerorgeli-luzern.ch,German,Association,Schwyzerörgeli,Lucerne schwyzerörgeli
kontakt@accordeon-basel.ch,Accordeon Club Basel,Switzerland,Basel,Basel-Stadt,,accordeon-basel.ch,German,Club,Accordion,Basel accordion club
info@accordeon-bern.ch,Accordeon Verein Bern,Switzerland,Bern,Bern,,accordeon-bern.ch,German,Association,Accordion,Bern accordion
contact@musique-folk-lausanne.ch,Musique Folk Lausanne,Switzerland,Lausanne,Vaud,,folk-lausanne.ch,French,Association,Folk music,Lausanne folk music
info@accordeon-geneve.ch,Association Accordéon Genève,Switzerland,Genève,Genève,,accordeon-geneve.ch,French,Association,Accordion,Geneva accordion
kontakt@schwyzerorgeli-zurich.ch,Schwyzerörgeli Zürich,Switzerland,Zürich,Zürich,,schwyzerorgeli-zurich.ch,German,Association,Schwyzerörgeli,Zurich schwyzerörgeli
info@volksmusik-appenzell.ch,Volksmusik Appenzell,Switzerland,Appenzell,Appenzell Innerrhoden,,,German,Association,Volksmusik,Appenzell folk music
contact@musiquepopulaire-fribourg.ch,Musique Populaire Fribourg,Switzerland,Fribourg,Fribourg,,,French,Association,Folk music,Fribourg folk music
info@accordeon-ticino.ch,Fisarmonica Ticino,Switzerland,Lugano,Ticino,,,Italian,Association,Fisarmonica,Ticino accordion
kontakt@volksmusik-stgallen.ch,Volksmusik St. Gallen,Switzerland,St. Gallen,St. Gallen,,,German,Association,Volksmusik,St. Gallen folk music
info@concertina-portugal.pt,Concertina Portugal,Portugal,Lisboa,Lisboa,,concertina-portugal.pt,Portuguese,Association,Concertina,Portuguese concertina association
contacto@musicatradicional-minho.pt,Música Tradicional Minho,Portugal,Braga,Braga,,,Portuguese,Association,Traditional music,Minho traditional music
info@concertina-coimbra.pt,Concertina Coimbra,Portugal,Coimbra,Coimbra,,,Portuguese,Association,Concertina,Coimbra concertina
contacto@folclore-alentejo.pt,Folclore Alentejo,Portugal,Évora,Évora,,,Portuguese,Association,Folklore,Alentejo folklore
info@musicapopular-porto.pt,Música Popular Porto,Portugal,Porto,Porto,,,Portuguese,Association,Popular music,Porto traditional music
contacto@acordeon-lisboa.pt,Acordeão Lisboa,Portugal,Lisboa,Lisboa,,,Portuguese,Association,Accordion,Lisbon accordion association
